Date,Open,High,Low,Close,Adj Close,Volume
8/21/2020,2118,2122,2077,2081.850098,2081.850098,11667129
8/24/2020,2091.399902,2104.5,2070.5,2095.75,2095.75,15098991
8/25/2020,2106,2111.300049,2078,2082.100098,2082.100098,8947563
8/26/2020,2085,2147.949951,2047,2137.300049,2137.300049,27630190
8/27/2020,2148,2150,2103.25,2110.600098,2110.600098,12961252
8/28/2020,2120,2132.899902,2106.25,2116.149902,2116.149902,12537520
8/31/2020,2174,2174,2060.350098,2080.699951,2080.699951,28648125
9/1/2020,2100,2122.399902,2062.399902,2087.25,2087.25,17821397
9/2/2020,2092,2138,2085,2128.199951,2128.199951,12437162
9/3/2020,2128,2138.75,2103,2112.100098,2112.100098,8577634
9/4/2020,2083.550049,2096.949951,2072.199951,2077.25,2077.25,13141644
9/7/2020,2084,2105.75,2044.25,2082.649902,2082.649902,10119064
9/8/2020,2092,2121,2080.5,2107.100098,2107.100098,12643749
9/9/2020,2085,2167.800049,2081.449951,2161.350098,2161.350098,25525961
9/10/2020,2183.100098,2344.949951,2175.350098,2314,2314,64750460
9/11/2020,2312,2337.850098,2287.100098,2319.75,2319.75,27445768
9/14/2020,2325,2360,2282,2302.550049,2302.550049,20335273
9/15/2020,2311.949951,2325.75,2288.149902,2318.850098,2318.850098,12542824
9/16/2020,2320,2369.350098,2310.550049,2324.550049,2324.550049,15668979
9/17/2020,2320,2333.699951,2291.850098,2298.75,2298.75,11919927
9/18/2020,2314.25,2319.449951,2276.550049,2305.699951,2305.699951,15264068
9/21/2020,2300,2336,2247.350098,2255.850098,2255.850098,15519031
9/22/2020,2277,2277,2201.550049,2211.149902,2211.149902,16056620
9/23/2020,2260,2276.75,2205.300049,2230.800049,2230.800049,19839282
9/24/2020,2207.899902,2226,2176.050049,2181.199951,2181.199951,13764841
9/25/2020,2189,2212.800049,2167.300049,2201.699951,2201.699951,13095028
9/28/2020,2227,2238,2207.050049,2216.25,2216.25,9076248
9/29/2020,2225,2264,2216.25,2245.050049,2245.050049,11926328
9/30/2020,2260,2267,2225,2234.350098,2234.350098,11290667
10/1/2020,2263.800049,2263.800049,2214,2225.25,2225.25,9591456
10/5/2020,2244,2249.149902,2206,2212.199951,2212.199951,8732869
10/6/2020,2225.25,2233.899902,2201.649902,2210.350098,2210.350098,8497216
10/7/2020,2235,2309,2220,2257.5,2257.5,24538346
10/8/2020,2259,2268,2222.100098,2239.25,2239.25,9727405
10/9/2020,2235,2253,2217.100098,2233.449951,2233.449951,8558745
10/12/2020,2235,2255.75,2226.25,2237.050049,2237.050049,6565515
10/13/2020,2230.600098,2285.75,2225.850098,2280.699951,2280.699951,10666190
10/14/2020,2278.899902,2304,2268.5,2287.5,2287.5,12341434
10/15/2020,2290,2290,2195,2206.5,2206.5,9246702
10/16/2020,2215,2232.5,2172.649902,2175.800049,2175.800049,9960828
10/19/2020,2190.050049,2228.699951,2155.149902,2176.199951,2176.199951,14398973
10/20/2020,2179,2193,2152.25,2155.899902,2155.899902,8529573
10/21/2020,2168,2192,2097.75,2124.600098,2124.600098,15728986
10/22/2020,2127.399902,2132.5,2091,2106.949951,2106.949951,14215215
10/23/2020,2106,2135,2096.399902,2113.050049,2113.050049,10809307
10/26/2020,2101.949951,2101.949951,2018.5,2029.099976,2029.099976,17225212
10/27/2020,2034.900024,2059.850098,2005,2034.5,2034.5,16835005
10/28/2020,2041.800049,2057.699951,2007.400024,2011.449951,2011.449951,13809929
10/29/2020,1997,2042,1991,2026.900024,2026.900024,14147418
10/30/2020,2033.5,2065.100098,2021.800049,2054.5,2054.5,15700946
11/2/2020,2027,2027,1859.150024,1877.449951,1877.449951,45857806
11/3/2020,1890,1909,1835.099976,1850.400024,1850.400024,40931170
11/4/2020,1837,1929,1837,1913.199951,1913.199951,37003111
11/5/2020,1954.949951,1960.949951,1932,1955,1955,17170274
11/6/2020,1990,2040,1978.150024,2029.150024,2029.150024,30770080
11/9/2020,2062.100098,2069,2036,2050.699951,2050.699951,16539467
11/10/2020,2077,2090,2041.199951,2084.550049,2084.550049,17045147
11/11/2020,2089,2095,1978.099976,1997.199951,1997.199951,26178477
11/12/2020,1981,2008.449951,1965,1980,1980,18481466
11/13/2020,1982,2036.650024,1981.75,1996.400024,1996.400024,20946864
